feature,nature,var_type,n_null_in_X_full,pct_null
n_photos,objective,count,5,4.1
n_prompts,objective,count,4,3.3
prompt_length,objective,ordinal,4,3.3
profession,objective,binary,6,4.9
bio_length,objective,ordinal,4,3.3
height,objective,continuous,10,8.1
religious,objective,binary,31,25.2
has_music,objective,binary,4,3.3
p_selfies,objective,continuous,4,3.3
shirtless,objective,binary,4,3.3
muscles,objective,binary,4,3.3
p_smiling_photos,objective,continuous,4,3.3
p_half_body_photos,objective,continuous,4,3.3
pets,objective,binary,4,3.3
friends_in_pics,objective,binary,4,3.3
wears_specs,objective,binary,5,4.1
filter,objective,binary,4,3.3
photo_lighting,subjective,ordinal,4,3.3
photo_quality,subjective,ordinal,4,3.3
eye_contact_ratio,subjective,continuous,5,4.1
perceived_conventional_attractiveness,subjective,ordinal,4,3.3
background_type_variance,subjective,ordinal,4,3.3
bio_tone,subjective,ordinal,42,34.1
bio_depth,subjective,ordinal,5,4.1
prompt_effort_depth,subjective,ordinal,4,3.3
photo_curation_effort,subjective,ordinal,6,4.9
perceived_social_status,subjective,ordinal,6,4.9
perceived_comfort,subjective,ordinal,5,4.1
perceived_humor,subjective,ordinal,4,3.3
perceived_genuineness,subjective,ordinal,5,4.1
perceived_wholesomeness,subjective,ordinal,4,3.3
warmth_vs_coldness,subjective,ordinal,4,3.3
confidence_signaling,subjective,ordinal,6,4.9
authenticity_score,subjective,ordinal,5,4.1
intra_profile_consistency,subjective,ordinal,4,3.3
first_photo_impact_score,subjective,ordinal,4,3.3
humility_vs_braggadocio,subjective,ordinal,4,3.3
emotional_stability,subjective,ordinal,28,22.8
interesting_profile,subjective,ordinal,4,3.3
profile_aura,subjective,ordinal,4,3.3
gym_active,objective,nominal,0,0.0
gym_no,objective,nominal,0,0.0
gym_not_disclosed,objective,nominal,0,0.0
gym_sometimes,objective,nominal,0,0.0
gym_nan,objective,nominal,0,0.0
smokes_no,objective,nominal,0,0.0
smokes_not_disclosed,objective,nominal,0,0.0
smokes_rarely,objective,nominal,0,0.0
smokes_sometimes,objective,nominal,0,0.0
smokes_yes,objective,nominal,0,0.0
smokes_nan,objective,nominal,0,0.0
drinks_no,objective,nominal,0,0.0
drinks_not_disclosed,objective,nominal,0,0.0
drinks_rarely,objective,nominal,0,0.0
drinks_sober,objective,nominal,0,0.0
drinks_sometimes,objective,nominal,0,0.0
drinks_yes,objective,nominal,0,0.0
drinks_nan,objective,nominal,0,0.0
want_kids_not_disclosed,unknown,unknown,0,0.0
want_kids_not_sure,unknown,unknown,0,0.0
want_kids_yes,unknown,unknown,0,0.0
want_kids_nan,unknown,unknown,0,0.0
looking_for_long term,unknown,unknown,0,0.0
"looking_for_long term, open to see where things go",unknown,unknown,0,0.0
looking_for_open to see where things go,unknown,unknown,0,0.0
looking_for_something casual,unknown,unknown,0,0.0
looking_for_nan,unknown,unknown,0,0.0
attachment_style_proxy_anxious,unknown,unknown,0,0.0
attachment_style_proxy_avoidant,unknown,unknown,0,0.0
attachment_style_proxy_insecure,unknown,unknown,0,0.0
attachment_style_proxy_secure,unknown,unknown,0,0.0
attachment_style_proxy_nan,unknown,unknown,0,0.0
